name,population,median_income,state,place
"Coulee Dam town, Washington",1394,66083,53,15115
"Country Homes CDP, Washington",6148,65854,53,15150
"Coupeville town, Washington",1937,64821,53,15185
"Covington city, Washington",20608,114247,53,15290
"Cowiche CDP, Washington",416,-666666666,53,15325
"Crescent Bar CDP, Washington",235,57083,53,15603
"Creston town, Washington",218,55500,53,15710
"Crocker CDP, Washington",1230,102831,53,15780
"Curlew CDP, Washington",76,-666666666,53,16165
"Curlew Lake CDP, Washington",546,65739,53,16170
"Cusick town, Washington",70,55455,53,16340
"Custer CDP, Washington",412,-666666666,53,16375
"Dallesport CDP, Washington",1465,59970,53,16550
"Danville CDP, Washington",66,-666666666,53,16585
"Darrington town, Washington",1116,32750,53,16690
"Dash Point CDP, Washington",1035,123906,53,16760
"Davenport city, Washington",1785,65469,53,16795
"Dayton city, Washington",2544,61671,53,16970
"Deep River CDP, Washington",246,40417,53,17215
"Deer Park city, Washington",4366,53910,53,17320
"Deming CDP, Washington",239,73245,53,17495
"Desert Aire CDP, Washington",2819,74526,53,17617
"Des Moines city, Washington",32631,73131,53,17635
"Disautel CDP, Washington",16,-666666666,53,17880
"Dixie CDP, Washington",175,63125,53,18055
"Dollars Corner CDP, Washington",665,105547,53,18198
"Donald CDP, Washington",145,-666666666,53,18265
"Duluth CDP, Washington",1273,63981,53,18775
"DuPont city, Washington",9974,98409,53,18965
"Duvall city, Washington",8007,168208,53,19035
"East Cathlamet CDP, Washington",521,69028,53,19290
"Eastmont CDP, Washington",23088,121976,53,19630
"Easton CDP, Washington",382,93281,53,19700
"East Port Orchard CDP, Washington",5087,60574,53,19770
"East Renton Highlands CDP, Washington",12392,120172,53,19857
"East Wenatchee city, Washington",14113,67739,53,20155
"Eatonville town, Washington",2863,80288,53,20260
"Edgewood city, Washington",12132,108492,53,20645
"Edison CDP, Washington",316,93958,53,20680
"Edmonds city, Washington",42622,96775,53,20750
"Elbe CDP, Washington",43,-666666666,53,20890
"Electric City city, Washington",954,68750,53,21030
"Elk Plain CDP, Washington",15157,91063,53,21205
"Ellensburg city, Washington",19215,47407,53,21240
"Elma city, Washington",3390,69405,53,21450
"Elmer City town, Washington",284,63750,53,21485
"Endicott town, Washington",400,46842,53,21730
"Enetai CDP, Washington",1946,63889,53,21800
"Entiat city, Washington",914,68000,53,22010
"Enumclaw city, Washington",12544,91855,53,22045
"Ephrata city, Washington",8348,67153,53,22080
"Erlands Point CDP, Washington",757,96944,53,22115
"Eschbach CDP, Washington",237,48229,53,22150
"Esperance CDP, Washington",4422,109625,53,22255
"Everett city, Washington",110438,71357,53,22640
"Everson city, Washington",2859,63958,53,22745
"Fairchild AFB CDP, Washington",3343,64223,53,22955
"Fairfield town, Washington",556,58281,53,22990
"Fairwood CDP (King County), Washington",18477,104273,53,23160
"Fairwood CDP (Spokane County), Washington",10059,78696,53,23165
"Fall City CDP, Washington",2187,128224,53,23200
"Farmington town, Washington",126,51094,53,23340
"Federal Way city, Washington",99792,72969,53,23515
"Felida CDP, Washington",10389,135426,53,23550
"Ferndale city, Washington",14777,77746,53,23620
"Fern Prairie CDP, Washington",1723,109013,53,23690
"Fife city, Washington",10869,75557,53,23795
"Fife Heights CDP, Washington",1833,119483,53,23830
"Finley CDP, Washington",5879,77117,53,23865
"Fircrest city, Washington",7109,90854,53,23970
"Five Corners CDP, Washington",20428,88441,53,24188
"Fobes Hill CDP, Washington",2798,106364,53,24425
"Fords Prairie CDP, Washington",2605,75913,53,24565
"Forks city, Washington",3373,42772,53,24810
"Fort Lewis CDP, Washington",12773,47031,53,24915
"Four Lakes CDP, Washington",634,70408,53,25300
"Fox Island CDP, Washington",3534,138175,53,25370
"Frederickson CDP, Washington",21651,93656,53,25475
"Freeland CDP, Washington",1997,78872,53,25510
"Friday Harbor town, Washington",2587,57885,53,25615
"Garfield town, Washington",581,54375,53,26140
"Garrett CDP, Washington",1755,100021,53,26245
"Geneva CDP, Washington",2437,89904,53,26420
"George city, Washington",702,39167,53,26455
"Gig Harbor city, Washington",11505,96192,53,26735
"Glacier CDP, Washington",188,27778,53,26875
"Gleed CDP, Washington",3184,69861,53,26945
"Glenwood CDP, Washington",288,60625,53,27225
"Gold Bar city, Washington",2172,77708,53,27365
"Goldendale city, Washington",3480,39215,53,27435
"Gorst CDP, Washington",294,-666666666,53,27680
"Graham CDP, Washington",33727,94876,53,27785
"Grand Coulee city, Washington",1121,40893,53,27855
"Grand Mound CDP, Washington",3642,72566,53,27890
"Grandview city, Washington",10894,52500,53,27925
"Granger city, Washington",3603,55625,53,27960
"Granite Falls city, Washington",4447,75523,53,27995
"Grapeview CDP, Washington",786,99779,53,28135
"Grayland CDP, Washington",783,26444,53,28345
"Grays River CDP, Washington",228,54048,53,28450
"Green Bluff CDP, Washington",304,93646,53,28590
"Greenwater CDP, Washington",72,-666666666,53,28695
"Hamilton town, Washington",326,54063,53,29255
"Hansville CDP, Washington",3465,76625,53,29430
"Harrah town, Washington",706,62500,53,29710
"Harrington city, Washington",437,34095,53,29745
"Hartline town, Washington",191,78935,53,29920
"Hat Island CDP, Washington",16,-666666666,53,30030
"Hatton town, Washington",468,78000,53,30060
"Hazel Dell CDP, Washington",21650,64408,53,30305
"Herron Island CDP, Washington",101,73102,53,30690
"High Bridge CDP, Washington",2935,147667,53,30750
"Hobart CDP, Washington",7201,123576,53,31495
"Hockinson CDP, Washington",6249,122875,53,31530
"Hogans Corner CDP, Washington",0,-666666666,53,31540
"Home CDP, Washington",1989,78871,53,31985
"Hoodsport CDP, Washington",110,-666666666,53,32125
"Hoquiam city, Washington",8700,44840,53,32300
"Humptulips CDP, Washington",229,-666666666,53,32650
"Hunts Point town, Washington",324,250001,53,32755
"Ilwaco city, Washington",1725,70282,53,33000
"Inchelium CDP, Washington",347,58125,53,33105
"Index town, Washington",156,-666666666,53,33175
"Indianola CDP, Washington",3538,80469,53,33280
"Ione town, Washington",377,50795,53,33560
"Issaquah city, Washington",39057,132984,53,33805
"Jamestown CDP, Washington",398,75357,53,33890
"Kahlotus city, Washington",125,53438,53,34575
"Kalama city, Washington",2888,87500,53,34645
"Kapowsin CDP, Washington",379,-666666666,53,34890
"Kayak Point CDP, Washington",1468,108382,53,34915
"Keller CDP, Washington",207,36667,53,34960
"Kelso city, Washington",12566,51203,53,35065
"Kendall CDP, Washington",930,39500,53,35135
"Kenmore city, Washington",23556,121463,53,35170
"Kennewick city, Washington",83082,64053,53,35275
"Kent city, Washington",134890,79781,53,35415
"Ketron Island CDP, Washington",0,-666666666,53,35450
"Kettle Falls city, Washington",1617,40726,53,35485
"Key Center CDP, Washington",3408,94095,53,35555
"Keyport CDP, Washington",270,-666666666,53,35625
"Kingston CDP, Washington",2912,88568,53,35870
"Kirkland city, Washington",91656,121998,53,35940
"Kitsap Lake CDP, Washington",1964,62143,53,36010
"Kittitas city, Washington",1394,56908,53,36045
"Klickitat CDP, Washington",282,45625,53,36115
